;	Merchant	NPC	Setup	File			
6Swh	2	517	466	仓库管理员	0	5	0
;   6swe	2						


;	PK	Vil	Trader				

7Est	3	855	661	老人	0	3	0


;Mongchon	Traders						

6Mwh	0145	9	12	仓库员	0	9	0
6Mwh	3	305	373	仓库管理员	0	6	0
3Mdr	0149	23	20	衣服店	0	7	0
3Mga	0149	11	18	手套店老板	0	4	0
3Mhe	0149	8	5	头盔店老板	0	5	0
2Mwe	0159	5	9	武器店老板	0	0	0
4Mdu	0160	5	8	药店老板	0	1	0
8Mri	0158	11	16	戒指店老板	0	5	0
8Mbr	0158	16	11	手套店老板	0	6	0
8Mne	0158	4	21	项链店老板	0	4	0
7Mst	3	346	334	杂货店老板	0	3	0
1Mme	3	355	329	屠夫	0	11	0
4Mdu	3	361	335	药店老板	0	1	0
5Mbo	0161	11	16	书店老板	0	2	0
9snpc2	3	297	302	网络宣传员    	0	5	0


;;Lottery		ticket					
							
9Mlo	3	284	343	彩票员	0	3	0
9Blo	0	298	317	彩票员	0	3	0


;	GuildWar	Teleport					

9match1	3	341	338	PK神	0	2	0
9match2	F003			PK神	0	2	0
9match3	0	333	268	PK神	0	2	0


;	Sabuk	Wall	Traders				

1Ame	3	659	301	屠夫	0	1	1
2Are	0151	3	19	武器店老板	0	0	1
2Awe	0151	7	14	武器店伙计	0	0	1
3Adr	0155	13	7	衣服店老板	0	7	1
3Ahe	0155	9	11	头盔店老板	0	5	1
4Adm	0153	7	14	毒药老板	0	9	1
4Adu	0153	14	7	药店	0	1	1
6Awh	0152	7	12	仓库管理员	0	6	1
7Ast	3	663	304	杂货店老板	0	3	1
8Abr	0154	14	7	手套店老板	0	6	1
8Ane	0154	3	18	项链店老板	0	6	1
8Ari	0154	10	15	戒指店老板	0	5	1
9Aup	0151	12	10	铁匠	0	0	1


;	Bug	Cave	Armour	Repair			

3Edr	D608	30	22	裁缝	0	3	0
							
;	Zuma	Temple	Traders				

4Edu	D5063	62	36	NPC	0	1	0

;	Stone	Temple	Traders				

2Ewe	D71650	23	27	修理工	0	0	0
3Edr	D71651	23	27	裁缝	0	7	0
4Edu	D71653	23	27	药铺	0	3	0
8Eac	D71652	23	27	药店	0	5	0
;   8aac	D71652						

;	Mystery	Cave	Quest	NPC			

9Equ	E603	31	191	未知老人	0	9	0
9Equ	0148	10	9	林小姐	0	13	0
							

;	Exchange	Characters					

9Ech	0126	10	10	网络宣传员	0	9	0
9Ech	0152	4	15	网络宣传员	0	9	1
9Ech	0146	4	11	网络宣传员	0	9	0
9epl	3	850	662	占卜师	0	9	0


;	Quest	NPC	(Unknown)				

9Equ	Q011	139	120	神秘老人	0	9	0
9Equ	Q016	14	21	神秘老人	0	12	0
							
							
;	Gamble	House	Rooms				

9Ega	0101	8	6	赌场	0	9	0
9Ega	B010	48	45	商人	0	9	0
9Ega	B011	8	10	小姐	0	12	0
9Ega	B012	8	10	小姐	0	12	0
9Ega	B013	8	10	小姐	0	12	0


;	Gamble	Betting	Rooms				

9Ega	B101	10	6	小姐	0	12	0
9Ega	B102	10	6	小姐	0	12	0
9Ega	B103	10	6	小姐	0	12	0
9Ega	B104	10	6	小姐	0	12	0
9Ega	B105	10	6	小姐	0	12	0
9Ega	B106	10	6	小姐	0	12	0
9Ega	B107	10	6	小姐	0	12	0
9Ega	B108	10	6	小姐	0	12	0
9Ega	B109	10	6	小姐	0	12	0
9Ega	B110	10	6	小姐	0	12	0
9Ega	B111	10	6	小姐	0	12	0
9Ega	B112	10	6	小姐	0	12	0
9Ega	B113	10	6	小姐	0	12	0
9Ega	B114	10	6	小姐	0	12	0
9Ega	B115	10	6	小姐	0	12	0
9Ega	B116	10	6	小姐	0	12	0
9Ega	B117	10	6	小姐	0	12	0
9Ega	B118	10	6	小姐	0	12	0
9Ega	B119	10	6	小姐	0	12	0
9Ega	B120	10	6	小姐	0	12	0
9Ega	B121	10	6	小姐	0	12	0
9Ega	B122	10	6	小姐	0	12	0
9Ega	B123	10	6	小姐	0	12	0
9Ega	B124	10	6	小姐	0	12	0
9Ega	B125	10	6	小姐	0	12	0
9Ega	B126	10	6	小姐	0	12	0
9Ega	B127	10	6	小姐	0	12	0
9Ega	B128	10	6	小姐	0	12	0
9Ega	B129	10	6	小姐	0	12	0
9Ega	B130	10	6	小姐	0	12	0
9Ega	B131	10	6	小姐	0	12	0
9Ega	B132	10	6	小姐	0	12	0
9Ega	B133	10	6	小姐	0	12	0
9Ega	B134	10	6	小姐	0	12	0
9Ega	B135	10	6	小姐	0	12	0
9Ega	B136	10	6	小姐	0	12	0
9Ega	B137	10	6	小姐	0	12	0
9Ega	B138	10	6	小姐	0	12	0
9Ega	B139	10	6	小姐	0	12	0
9Ega	B140	10	6	小姐	0	12	0


;	Gamble	Quest	Rooms				

9Ega1	T105	7	6	肉店小姐	0	11	0
9Ega2	T105	6	5	肉店小姐	0	11	0
9Ega3	T105	8	7	肉店小姐	0	11	0
9Ega4	T105	9	8	肉店小姐	0	11	0
9Ega5	T105	10	9	肉店小姐	0	11	0
9Ega	T118	14	15	小姐	0	12	0
9Ega	T125	11	9	小姐	0	12	0
9Ega	T1363	10	6	小姐	0	12	0
9Ega	T138	9	10	小姐	0	12	0
							
;	[Teleport	NPC]					
							
9Bichon_Teleport	0	329	267	商店传送员	0	9	0
9Serpent_Teleport	2	504	485	商店传送员	0	9	0
9Mongchon_Teleport	3	333	330	商店传送员	0	9	0


;	Woomyon	Wall					

2Wwe	1001	14	12	武器店	0	15	0
7Wst	1007	11	14	杂货店	0	17	0
8Wac	1005	9	11	首饰店	0	20	0
3Wdr	1003	13	16	服装店	0	23	0
3Wdr	11	203	321	妇女	0	23	0
4Wdu	1006	9	10	练药师	0	25	0
4Wdm	1006	12	7	药店老板	0	22	0
5Wbo	1004	9	11	书店	0	18	0
6Wwh	11	184	297	仓库管理员	0	12	0
;6Wwh	11	184	297	仓库管理员	0	18	0
							
6Wrt	1002	14	13	神仙	0	14	0
							
9Wae1	11	179	309	弟子	0	19	0
9Wae2	11	181	311	弟子	0	19	0
9Wae3	11	179	313	弟子	0	19	0
9Wae4	11	177	311	弟子	0	19	0
9Wae5	11	175	313	弟子	0	19	0
9Wae6	11	177	315	弟子	0	19	0
9Wtt	11	182	308	师傅	0	16	0
							
9Wae1	11	191	329	弟子	0	21	0
9Wae2	11	189	327	弟子	0	21	0
9Wae3	11	191	325	弟子	0	21	0
9Wae4	11	193	327	弟子	0	21	0
9Wae5	11	195	325	弟子	0	21	0
9Wae6	11	193	323	弟子	0	21	0
9Wtt	11	196	322	师傅	0	24	0
							
9Wbt	D10061	11	16	守护神	0	15	0


;	Spawn	139					
spawn	0139	19	19	练功师	0	9	0

;	Slave	Cave	Quest				
SlaveCaveNPC	0148	6	9	时空员	0	9	0
							
;	GM	NPCs					
majorcleanup	r001	104	93	看守员	0	9	0
GMservant	r001	100	93	GM小姐	0	12	0

;	Test	NPCs					
test	r001	104	97	读书者1	       0	0	0
test	r001	105	97	读书者2	       0	1	0
test	r001	106	97	读书者3        0	2	0
test	r001	107	97	读书者4	       0	3	0
test	r001	108	97	读书者5	       0	4	0
test	r001	109	97	读书者6	       0	5	0
test	r001	110	97	读书者7	       0	6	0
test	r001	104	99	读书者8	       0	7	0
test	r001	105	99	读书者9        0	8	0
test	r001	106	99	读书者10	0	9	0
test	r001	107	99	读书者11	0	10	0
test	r001	108	99	读书者12	0	11	0
test	r001	109	99	读书者13	0	12	0
test	r001	110	99	读书者14	0	13	0
test	r001	104	101	读书者15	0	14	0
test	r001	105	101	读书者16	0	15	0
test	r001	106	101	读书者17	0	16	0
test	r001	107	101	读书者18	0	17	0
test	r001	108	101	读书者19	0	18	0
test	r001	109	101	读书者20	0	19	0
test	r001	110	101	读书者21	0	20	0
test	r001	111	101	读书者22	0	21	0
test	r001	112	101	读书者23	0	22	0
test	r001	104	103	读书者24	0	23	0
test	r001	105	103	读书者25	0	24	0
test	r001	106	103	读书者26	0	25	0

:	Yet Unknown NPCS

;    9xmasman1	0
;    9xmasman2	0
9pigman D717	67	39	使者	0	3	0
